5,MTZ,MTZ+Lazy,MTZ+2deg,MTZ+Lazy+2deg,GG
../data/compact_models/size_60/random_11.tsp,225.761943,29.307538,80.111717,58.186266,47.846878
../data/compact_models/size_60/random_9.tsp,3600.01627,3600,3600.028471,3600,58.036359
../data/compact_models/size_60/random_17.tsp,3159.891832,3600,3600.019337,3600,194.31983
../data/compact_models/size_60/random_2.tsp,3601.420328,3600,3600.023621,3600,40.871177
../data/compact_models/size_60/random_3.tsp,42.691371,25.700833,21.676107,58.192279,65.557225
../data/compact_models/size_60/random_5.tsp,38.408938,129.567445,35.818139,19.703638,89.535897
../data/compact_models/size_60/random_4.tsp,45.294356,42.74744,67.181148,11.297518,37.067947
../data/compact_models/size_60/random_13.tsp,144.936931,58.337724,177.93223,53.53096,58.043155
../data/compact_models/size_60/random_12.tsp,148.61487,77.599551,610.612549,50.374732,44.319092
../data/compact_models/size_60/random_14.tsp,400.27004,3600,1430.041507,1148.156889,90.138806
../data/compact_models/size_20/random_0.tsp,0.960905,0.776761,0.441634,0.351517,0.833618
../data/compact_models/size_20/random_19.tsp,0.692675,0.610479,0.618198,0.415878,0.774193
../data/compact_models/size_20/random_1.tsp,11.423625,10.220784,12.234644,7.651767,1.625328
../data/compact_models/size_20/random_16.tsp,0.357379,0.330876,0.274894,0.20948,0.694468
../data/compact_models/size_20/random_15.tsp,0.53566,0.813063,0.289391,0.447576,0.334107
../data/compact_models/size_20/random_18.tsp,3.515777,2.97443,1.899093,1.707081,1.188473
../data/compact_models/size_20/random_7.tsp,0.391924,0.182165,0.210729,0.147058,0.827199
../data/compact_models/size_20/random_8.tsp,1.010458,0.831022,1.213408,1.207223,1.75355
../data/compact_models/size_20/random_6.tsp,6.550708,1.610373,1.605961,1.920558,1.030779
../data/compact_models/size_20/random_10.tsp,1.072515,0.570457,0.568533,0.350329,0.976581
../data/compact_models/size_20/random_11.tsp,0.718455,1.058553,0.526908,0.829086,0.52106
../data/compact_models/size_20/random_9.tsp,1.288454,0.583503,1.619026,0.936767,0.575994
../data/compact_models/size_20/random_17.tsp,0.253429,0.184759,0.221481,0.111759,0.958437
../data/compact_models/size_20/random_2.tsp,4.408225,1.779257,2.626527,2.020413,1.269487
../data/compact_models/size_20/random_3.tsp,5.733424,6.671234,11.950699,7.229029,0.985115
../data/compact_models/size_20/random_5.tsp,3.721241,1.194085,1.664221,1.001585,0.886589
../data/compact_models/size_20/random_4.tsp,1.241802,1.047555,1.023431,0.917367,3.159579
../data/compact_models/size_20/random_13.tsp,10.599637,3.828007,6.700202,2.097865,1.727068
../data/compact_models/size_20/random_12.tsp,0.374433,0.343832,0.435711,0.276684,0.875276
../data/compact_models/size_20/random_14.tsp,1.011397,1.172899,0.541244,0.811609,0.742181
../data/compact_models/size_40/random_0.tsp,12.577933,2.942942,3.608571,2.473616,12.251247
../data/compact_models/size_40/random_19.tsp,9.288942,3.242759,11.346648,2.713222,11.207517
../data/compact_models/size_40/random_1.tsp,160.756354,69.407231,82.801479,28.305172,8.66012
../data/compact_models/size_40/random_16.tsp,74.432433,72.091617,173.912627,25.298602,9.970379
../data/compact_models/size_40/random_15.tsp,66.977167,16.010898,36.612652,55.816495,16.049752
../data/compact_models/size_40/random_18.tsp,26.775521,17.469785,22.002467,18.111909,10.083003
../data/compact_models/size_40/random_7.tsp,55.238861,48.859985,49.42673,33.339193,16.513802
../data/compact_models/size_40/random_8.tsp,3.106081,1.822907,0.922684,0.410034,12.089397
../data/compact_models/size_40/random_6.tsp,316.087709,159.488231,363.131239,156.952854,7.433729
../data/compact_models/size_40/random_10.tsp,5.83054,2.469698,6.837434,6.047795,9.317759
../data/compact_models/size_40/random_11.tsp,2.752164,2.658196,1.793974,2.44721,14.50146
../data/compact_models/size_40/random_9.tsp,3600.020648,3600,3604.11299,3600,13.06398
../data/compact_models/size_40/random_17.tsp,32.420914,6.093746,23.215488,6.840378,13.429873
../data/compact_models/size_40/random_2.tsp,3600.019389,3600,3600.027098,2716.378497,16.515084
../data/compact_models/size_40/random_3.tsp,3602.015898,3600,3600.021849,3600,20.051901
../data/compact_models/size_40/random_5.tsp,2182.522971,3600,2830.444973,3600,16.825448
../data/compact_models/size_40/random_4.tsp,7.02195,5.535321,7.895524,4.111002,11.234101
../data/compact_models/size_40/random_13.tsp,0.901575,0.577203,0.842713,0.17978,10.271972
../data/compact_models/size_40/random_12.tsp,34.566319,22.846736,15.749523,30.74876,6.815078
../data/compact_models/size_40/random_14.tsp,133.822473,56.75139,127.542199,38.781873,7.861722
../data/compact_models/size_30/random_0.tsp,0.927559,1.447155,1.060059,0.75333,4.399931
../data/compact_models/size_30/random_19.tsp,0.63288,0.442565,0.542476,0.372163,4.335681
../data/compact_models/size_30/random_1.tsp,22.200345,5.008021,6.850311,6.152997,8.50101
../data/compact_models/size_30/random_16.tsp,38.082565,17.169334,15.746502,5.163768,9.201877
../data/compact_models/size_30/random_15.tsp,0.962632,0.969049,1.243283,0.556727,3.834169
../data/compact_models/size_30/random_18.tsp,0.863366,0.819183,1.047021,0.378432,3.317875
../data/compact_models/size_30/random_7.tsp,10.799613,5.827798,13.867837,3.400474,5.14879
../data/compact_models/size_30/random_8.tsp,1.550489,1.375801,2.488751,1.499165,4.261695
../data/compact_models/size_30/random_6.tsp,0.800226,0.400091,0.410992,0.256619,4.939254
../data/compact_models/size_30/random_10.tsp,49.846011,23.049705,22.573126,26.180755,3.119238
../data/compact_models/size_30/random_11.tsp,150.096581,19.418612,31.882022,28.143818,10.345221
../data/compact_models/size_30/random_9.tsp,1.78374,2.087994,1.144325,1.454352,3.075958
../data/compact_models/size_30/random_17.tsp,0.714678,0.736458,1.524146,0.770479,2.412272
../data/compact_models/size_30/random_2.tsp,8.685412,3.040415,15.630111,3.974176,3.024272
../data/compact_models/size_30/random_3.tsp,1.037776,1.215983,1.062127,0.545257,2.780221
../data/compact_models/size_30/random_5.tsp,98.120653,59.019897,97.322097,52.765755,2.425968
../data/compact_models/size_30/random_4.tsp,589.442257,334.215607,582.749751,493.372318,5.843007
../data/compact_models/size_30/random_13.tsp,2.854677,2.043833,4.217354,1.404772,8.700985
../data/compact_models/size_30/random_12.tsp,8.781095,7.132361,8.891498,2.855281,6.610837
../data/compact_models/size_30/random_14.tsp,1.808201,1.563484,3.362898,1.593074,4.307341
